Wall time,Step,Value
1699271511.4887145,2048,-0.9994000196456909
1699271636.5336425,4096,-0.9994000196456909
1699271760.8864682,6144,-0.9993199706077576
1699271885.2825303,8192,-0.99935382604599
1699272009.4775503,10240,-1.056837558746338
1699272134.0982022,12288,-1.0202300548553467
1699272258.8373244,14336,-1.0175217390060425
1699272383.6017065,16384,-1.014822244644165
1699272508.4555728,18432,-1.0137723684310913
1699272633.4342716,20480,-1.0128580331802368
1699272758.6587849,22528,-0.9929257035255432
1699272884.0486188,24576,-0.9934421181678772
1699273008.9019241,26624,-0.9940000176429749
1699273133.9701586,28672,-0.9942454695701599
1699273259.2083302,30720,-0.9760869741439819
1699273384.4537635,32768,-0.9125959277153015
1699273509.6943774,34816,-0.9160156846046448
1699273634.9591777,36864,-0.9206444621086121
1699273760.0604632,38912,-0.924793004989624
1699273885.0853212,40960,-0.9296786785125732
1699274010.246398,43008,-0.9339630603790283
1699274135.3708642,45056,-0.9359164237976074
1699274260.5737915,47104,-0.9377623200416565
1699274385.7602072,49152,-0.9214328527450562
1699274511.0065348,51200,-0.9235173463821411
1699274636.064463,53248,-0.9273595213890076
1699274761.1998634,55296,-0.9308264851570129
1699274886.3093584,57344,-0.9659954309463501
1699275011.3585489,59392,-0.9671022295951843
1699275136.45846,61440,-0.9671022295951843
1699275261.7318487,63488,-0.9386351704597473
1699275387.106168,65536,-0.9282521605491638
1699275512.3755095,67584,-0.9319133758544922
1699275637.6245303,69632,-0.9339359998703003
1699275762.7888799,71680,-0.9339280128479004
1699275887.8590832,73728,-0.9339320063591003
1699276012.9793472,75776,-0.8897740244865417
1699276138.0646346,77824,-0.8805720210075378
1699276263.1896508,79872,-0.8805760145187378
1699276388.4068568,81920,-0.8805760145187378
1699276513.6062968,83968,-0.8805760145187378
1699276638.8961356,86016,-0.8805760145187378
1699276764.255924,88064,-0.5276899933815002
1699276889.4028108,90112,-0.5276779532432556
1699277014.467872,92160,-0.5084879994392395
1699277139.64351,94208,-0.5157819986343384
1699277264.8556547,96256,-0.5157899856567383
1699277389.42448,98304,-0.5015299916267395
1699277514.4651344,100352,-0.5229099988937378
1699277639.5917952,102400,-0.5159119963645935
1699277765.4954393,104448,-0.5159080028533936
1699277890.8376584,106496,-0.46831196546554565
