episode,finalReward
01-01-01.yaml,0.9582000337541103
01-01-02.yaml,-0.9991999505436979
01-01-03.yaml,-0.9991999505436979
01-02-01.yaml,-0.9991999505436979
01-02-02.yaml,-0.9991999505436979
01-02-03.yaml,-0.9991999505436979
01-03-01.yaml,-0.9991999505436979
01-03-02.yaml,-0.9991999505436979
01-03-03.yaml,-0.9991999505436979
01-04-01.yaml,-0.9991999505436979
01-04-02.yaml,-0.9991999505436979
01-04-03.yaml,-0.9991999505436979
01-05-01.yaml,-0.9991999505436979
01-05-02.yaml,-0.9991999505436979
01-05-03.yaml,-0.9991999505436979
01-06-01.yaml,-0.9991999505436979
01-06-02.yaml,-0.9991999505436979
01-06-03.yaml,-0.9991999505436979
01-07-01.yaml,-0.9991999505436979
01-07-02.yaml,4.07019979855977
01-07-03.yaml,-0.9991999505436979
01-08-01.yaml,-0.9991999505436979
01-08-02.yaml,-0.9991999505436979
01-08-03.yaml,-0.9991999505436979
01-09-01.yaml,-0.9991999505436979
01-09-02.yaml,-0.9991999505436979
01-09-03.yaml,-0.9991999505436979
01-10-01.yaml,-0.9991999505436979
01-10-02.yaml,-0.9991999505436979
01-10-03.yaml,-0.9991999505436979
01-11-01.yaml,-0.9991999505436979
01-11-02.yaml,-0.9991999505436979
01-11-03.yaml,0.37869999883696437
01-12-01.yaml,-0.9991999505436979
01-12-02.yaml,4.143000006210059
01-12-03.yaml,-0.9991999505436979
01-13-01.yaml,-0.9991999505436979
01-13-02.yaml,-0.9991999505436979
01-13-03.yaml,-0.9991999505436979
01-14-01.yaml,-0.9991999505436979
01-14-02.yaml,-0.9991999505436979
01-14-03.yaml,-0.9991999505436979
01-15-01.yaml,-0.9991999505436979
01-15-02.yaml,-0.9991999505436979
01-15-03.yaml,-0.9991999505436979
01-16-01.yaml,-0.9991999505436979
01-16-02.yaml,-0.9991999505436979
01-16-03.yaml,-0.9991999505436979
01-17-01.yaml,-0.9991999505436979
01-17-02.yaml,-0.9991999505436979
01-17-03.yaml,-0.9991999505436979
01-18-01.yaml,-0.9991999505436979
01-18-02.yaml,-0.9991999505436979
01-18-03.yaml,-0.9991999505436979
01-19-01.yaml,-0.9991999505436979
01-19-02.yaml,-0.9991999505436979
01-19-03.yaml,-0.9991999505436979
01-20-01.yaml,-0.9991999505436979
01-20-02.yaml,-0.5825999495573342
01-20-03.yaml,-0.9991999505436979
01-21-01.yaml,-0.9995999505044892
01-21-02.yaml,0.5510000986105297
01-21-03.yaml,2.32320005283691
01-22-01.yaml,34.644201997696655
01-22-02.yaml,30.17420209237025
01-22-03.yaml,30.987602354842238
01-23-01.yaml,2.4501999706262723
01-23-02.yaml,1.6834000085946172
01-23-03.yaml,-1.1726000178605318
01-24-01.yaml,-0.9991999505436979
01-24-02.yaml,-1.2117999698966742
01-24-03.yaml,-1.3341999638359994
01-25-01.yaml,-0.9991999505436979
01-25-02.yaml,-1.3022000114433467
01-25-03.yaml,-5.4101997865363955
01-26-01.yaml,-1.5549999529030174
