User,L1.6.2,L1.21.1,L1.4.3,L1.23.1,L2.10.1,L2.17.1,L2.29.1,L2.2.1,L3.9.1,L3.11.1,L3.21.1,L3.18.1,L4.3.1,L4.16.1,L4.13.1,L4.22.1,L5.15.1,L5.9.1,L5.24.1,L5.26.1,L6.11.1,L6.29.2,L6.9.1,L6.12.2,L7.16.1,L7.17.1,L7.22.1,L7.25.1,L8.3.3,L8.19.1,L8.30.1,L8.11.1,L9.21.1,L9.24.1,L9.8.1,L9.3.1,L10.16.1,L10.21.1,L10.7.1,L10.22.3,P1.6.2,P1.21.1,P1.4.3,P1.23.1,P2.10.1,P2.17.1,P2.29.1,P2.2.1,P3.9.1,P3.11.1,P3.21.1,P3.18.1,P4.3.1,P4.16.1,P4.13.1,P4.22.1,P5.15.1,P5.9.1,P5.24.1,P5.26.1,P6.11.1,P6.29.2,P6.9.1,P6.12.2,P7.16.1,P7.17.1,P7.22.1,P7.25.1,P8.3.3,P8.19.1,P8.30.1,P8.11.1,P9.21.1,P9.24.1,P9.8.1,P9.3.1,P10.16.1,P10.21.1,P10.7.1,P10.22.3
TU-iwe-164,0,0,0,0,NA,NA,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,NA,0,0,-1.000006437,-1.000011683,-1.000006437,-1.169666052,NA,NA,-1.000011683,-1.000006437,-0.161333144,-0.002666667,-0.001333333,NA,-1.700001359,-1.000006437,-1.000006437,-1.209332943,-1.000011683,-1.000006437,-1.000011683,-0.999969602,NA,-0.002666667,-0.002666667,-0.002666667,-1.093333364,-1.237998962,0.49699676,NA,-1.000006437,-1.000011683,-1.000011683,-1.000006437,-1.000006437,-1.000006437,-1.000006437,-1.000006437,-0.058000006,NA,-0.001333333,-0.001333333
TU-ixu-72,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.288998604,0.998048604,0.088328443,2.996030569,-1.000006437,0.244331092,0.468996286,0.064328037,-1.000006437,-1.000006437,-0.672672808,-0.001333333,-0.447998255,-0.002666667,-0.002666667,-0.002666667,-0.17866604,NA,-0.001333333,-0.000666667,-0.175999731,NA,NA,-0.002666667,-1.215999484,0.116990343,-1.000011683,-0.00100778,-1.000006437,-1.554670811,-1.000011683,-1.000006437,2.996002674,-1.000006437,0.997993588,0.997993588,-1.628672004,-1.000011683,-1.311333299,-1.000011683
TU-jcd-86,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,2.299665451,6.992050171,0.733667374,9.505356789,0.801667035,1.714000821,0.817667305,0.875,0.480335087,0.565668344,0.753667653,1.750001073,0.348332852,3.483000755,0.589668155,0.671001077,0.658332825,0.609668076,3.530019522,5.652356148,0.495002002,0.465668172,0.543001771,0.600334764,-1.061333418,0.849000454,0.604331911,0.998054802,3.023994207,1.692666769,1.647332668,1.547335029,2.996014118,4.994033337,2.9960289,10.98806,-1.338667154,-1.000011683,-1.5453372,-1.000011683
TU-jkt-157,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,2.857000113,9.349370003,0.695000947,9.467362404,0.600334764,1.75533402,2.621000528,0.877666652,0.695000947,0.656334519,0.762334287,1.717333913,0.436334342,0.283500493,0.452334613,0.669667721,0.176991358,-0.491998017,3.535348892,5.643023491,0.129662484,0.445667833,0.68700099,0.628334641,0.688334346,0.804334044,0.612998724,2.773670673,3.181328773,-1.354000688,-0.524003625,-0.351998776,3.516010284,1.65133214,3.384021282,11.07471943,-1.308666587,-0.195332617,-1.192665935,-1.000011683
TU-jnq-153,0,0,1,0,1,0,0,1,0,0,0,0,0,NA,NA,NA,0,0,0,0,1,1,1,1,0,1,1,0,0,0,NA,0,0,0,0,0,0,0,0,0,-1.000006437,7.991060257,0.764333904,-0.134001359,0.423000783,0.46300146,0.642999232,0.68700099,-0.705334783,-0.002666667,-0.001333333,-0.001333333,-0.139999926,NA,NA,NA,-0.19599928,-0.002666667,-0.001333333,-0.000666667,0.320332378,0.064328037,0.425667495,0.30033204,-1.103999972,0.170324579,0.61433208,0.196992874,0.997993588,-0.741340637,NA,-0.002666667,3.248024464,-0.002666667,-0.002666667,-0.002666667,-0.481336236,-0.001333333,-0.203332573,-0.001333333
TU-jrb-187,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2.691667795,9.246042252,0.68033433,9.414700508,0.739000678,1.868666649,2.637002707,0.877666652,0.761667252,0.729667425,0.664332926,1.605332017,0.416334003,3.706999779,-1.163999796,0.751000643,0.376994729,0.563001633,3.566016197,5.65402317,0.651001215,0.443001121,0.725667477,0.651001215,-1.024000049,-1.029333234,0.611665368,2.717674494,3.05332613,1.724000692,1.750001073,1.78600049,4.994045734,4.994042397,2.996048927,10.98804855,0.602331877,0.118323699,0.732334077,0.384994864
TU-jrt-136,1,0,1,0,1,1,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.774333954,6.992042065,0.515001893,1.619349957,0.581668258,1.842000127,0.755667627,0.832333565,-1.000006437,-1.000006437,0.488996625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TU-jue-47,1,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2.418334007,3.995051384,0.289665192,5.993051529,-0.549332142,1.564668298,2.363001823,0.507001996,0.66300112,-0.426665038,0.512997031,-1.000011683,-1.175999761,3.057666779,0.459001392,0.503001988,-1.000011683,-1.000006437,3.23602891,5.280046463,-1.000006437,-1.000006437,0.480335087,0.065661393,-1.082666755,-1.245332241,-0.77934128,1.468683004,0.997993588,1.375328064,-1.178665996,-0.921338439,2.996035576,0.997993588,3.178675652,4.994031429,-1.416668415,-0.31066668,-1.000011683,-1.000011683
TU-kby-106,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.000006437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TU-khj-19,1,0,1,0,1,1,1,0,1,1,1,1,0,0,1,1,0,0,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,2.686334372,2.996036291,0.435000986,5.993058681,0.089661799,1.012660503,2.468340158,-1.000006437,0.000326954,0.280331701,0.370994627,1.212658644,-1.000006437,-0.257835627,0.156329602,0.366999835,-1.000011683,-0.864004135,3.148692608,5.361040592,0.102995358,-1.000006437,0.260331362,0.08299502,-1.000006437,0.295660019,0.57833147,-0.464002609,-1.000006437,-1.38266778,-1.078666568,1.08199501,2.996024609,2.995996475,2.996022224,8.990047455,-1.997344971,-0.321333528,-1.452669024,-0.850675821
