episode,finalReward
01-01-01.yaml,[0.9886]
01-01-02.yaml,[0.9846]
01-01-03.yaml,[0.9886]
01-02-01.yaml,[0.95419997]
01-02-02.yaml,[0.95419997]
01-02-03.yaml,[0.943]
01-03-01.yaml,[0.9406]
01-03-02.yaml,[0.91260004]
01-03-03.yaml,[0.8886]
01-04-01.yaml,[0.7654001]
01-04-02.yaml,[0.7806001]
01-04-03.yaml,[-0.9975971]
01-05-01.yaml,[0.80700004]
01-05-02.yaml,[0.7758001]
01-05-03.yaml,[0.5573993]
01-06-01.yaml,[2.9426]
01-06-02.yaml,[2.937]
01-06-03.yaml,[2.5857995]
01-07-01.yaml,[4.9422]
01-07-02.yaml,[4.7134]
01-07-03.yaml,[4.5845995]
01-08-01.yaml,[0.4619]
01-08-02.yaml,[-0.9975971]
01-08-03.yaml,[0.4563]
01-09-01.yaml,[0.943]
01-09-02.yaml,[0.94380003]
01-09-03.yaml,[0.791]
01-10-01.yaml,[4.9422]
01-10-02.yaml,[4.9389997]
01-10-03.yaml,[4.9269996]
01-11-01.yaml,[0.4619]
01-11-02.yaml,[-0.9975971]
01-11-03.yaml,[0.4563]
01-12-01.yaml,[4.7286]
01-12-02.yaml,[4.6478]
01-12-03.yaml,[4.458999]
01-13-01.yaml,[0.84699994]
01-13-02.yaml,[0.32380038]
01-13-03.yaml,[0.46779925]
01-14-01.yaml,[0.2227]
01-14-02.yaml,[-0.9975971]
01-14-03.yaml,[-0.03170076]
01-15-01.yaml,[0.84699994]
01-15-02.yaml,[0.32380038]
01-15-03.yaml,[0.46779925]
01-16-01.yaml,[0.08589938]
01-16-02.yaml,[0.11549953]
01-16-03.yaml,[-0.22369924]
01-17-01.yaml,[0.08589938]
01-17-02.yaml,[0.11549953]
01-17-03.yaml,[-0.22369924]
01-18-01.yaml,[0.7430001]
01-18-02.yaml,[0.04460257]
01-18-03.yaml,[0.7534001]
01-19-01.yaml,[0.85099995]
01-19-02.yaml,[0.15420175]
01-19-03.yaml,[0.42779958]
01-20-02.yaml,[2.3520408]
01-20-03.yaml,[3.9190047]
01-21-01.yaml,[9.301178]
01-21-02.yaml,[9.301178]
01-21-03.yaml,[9.301178]
01-22-01.yaml,[38.451897]
01-22-02.yaml,[38.451897]
01-22-03.yaml,[38.451897]
01-23-01.yaml,[6.6115046]
01-23-02.yaml,[6.6115046]
01-23-03.yaml,[6.6115046]
01-24-01.yaml,[-0.9975971]
01-24-02.yaml,[-0.9975971]
01-24-03.yaml,[-0.9975971]
01-25-01.yaml,[0.72220004]
01-25-02.yaml,[0.0038029]
