episode,finalReward
03-02-03.yaml,[-0.9975971]
03-03-02.yaml,[0.7918]
03-03-03.yaml,[-0.9975971]
03-04-01.yaml,[-0.9975971]
03-04-02.yaml,[-0.9975971]
03-04-03.yaml,[-0.9975971]
03-05-01.yaml,[-0.9975971]
03-05-02.yaml,[-0.9975971]
03-05-03.yaml,[-0.9975971]
03-06-01.yaml,[0.54379916]
03-06-03.yaml,[-0.9975971]
03-07-01.yaml,[0.69819987]
03-07-02.yaml,[0.6045995]
03-07-03.yaml,[0.6765998]
03-08-01.yaml,[0.69819987]
03-08-02.yaml,[0.3829999]
03-08-03.yaml,[0.715]
03-09-01.yaml,[-0.9975971]
03-09-02.yaml,[-0.9975971]
03-09-03.yaml,[-0.9975971]
03-10-01.yaml,[0.4517994]
03-10-02.yaml,[0.5701993]
03-10-03.yaml,[0.38459992]
03-11-01.yaml,[0.65499973]
03-11-02.yaml,[0.11580205]
03-11-03.yaml,[0.37579995]
03-12-01.yaml,[0.46859926]
03-12-02.yaml,[-0.9975971]
03-12-03.yaml,[-0.9975971]
03-13-01.yaml,[0.37819993]
03-13-02.yaml,[0.3981998]
03-13-03.yaml,[0.64219964]
03-14-01.yaml,[0.6533997]
03-14-02.yaml,[0.3981998]
03-14-03.yaml,[0.64219964]
03-15-01.yaml,[-0.9975971]
03-15-03.yaml,[-0.9975971]
03-16-01.yaml,[-0.9975971]
03-16-02.yaml,[-0.9975971]
03-16-03.yaml,[-0.9975971]
03-17-01.yaml,[-0.9975971]
03-17-02.yaml,[-0.9975971]
03-17-03.yaml,[-0.9975971]
03-18-01.yaml,[-0.99880695]
03-18-02.yaml,[-0.99880695]
03-18-03.yaml,[-0.99880695]
03-19-01.yaml,[-0.99880695]
03-19-03.yaml,[-0.99880695]
03-20-01.yaml,[-0.9975971]
03-20-02.yaml,[-0.9975971]
03-20-03.yaml,[-0.9975971]
03-21-01.yaml,[-0.99880695]
03-21-02.yaml,[-0.99880695]
03-22-01.yaml,[-0.9975971]
03-22-02.yaml,[0.6141995]
03-22-03.yaml,[0.2086013]
03-23-01.yaml,[-0.9975971]
03-23-02.yaml,[0.12220198]
03-24-01.yaml,[0.46139932]
03-24-02.yaml,[-0.9975971]
03-24-03.yaml,[-0.9975971]
03-25-01.yaml,[1.2364011]
03-25-02.yaml,[-0.9975971]
03-25-03.yaml,[1.2364011]
03-26-01.yaml,[-0.9975971]
03-26-02.yaml,[-0.9975971]
03-27-01.yaml,[-0.99880695]
03-27-02.yaml,[-0.99880695]
03-27-03.yaml,[-0.99880695]
03-28-01.yaml,[-0.9975971]
03-28-02.yaml,[0.62299955]
03-28-03.yaml,[-0.9975971]
03-29-01.yaml,[-0.9975971]
03-29-02.yaml,[-0.9975971]
03-29-03.yaml,[-0.9975971]
03-30-01.yaml,[0.14220184]
03-30-02.yaml,[0.42939955]
03-30-03.yaml,[0.42939955]
04-01-01.yaml,[0.5861994]
04-01-02.yaml,[-0.9975971]
04-01-03.yaml,[-0.9975971]
04-02-02.yaml,[-0.9975971]
04-02-03.yaml,[-0.9975971]
04-03-01.yaml,[-0.9975971]
04-03-02.yaml,[-0.9975971]
04-03-03.yaml,[-0.9975971]
04-04-01.yaml,[-1.0015994]
04-04-02.yaml,[-1.004799]
04-04-03.yaml,[-0.9991998]
04-05-01.yaml,[-1.0039998]
04-05-02.yaml,[-0.9975991]
04-05-03.yaml,[-0.9983998]
04-06-01.yaml,[-0.9975994]
04-06-02.yaml,[-0.9975994]
04-06-03.yaml,[-0.9975971]
04-07-01.yaml,[-1.0040003]
04-07-02.yaml,[0.09900224]
04-07-03.yaml,[0.7734001]
04-08-01.yaml,[0.33260024]
04-08-02.yaml,[-1.0023994]
04-08-03.yaml,[-1.004799]
04-09-01.yaml,[-0.99759674]
04-09-02.yaml,[-1.0007994]
04-09-03.yaml,[-0.9975968]
04-10-01.yaml,[-0.9976]
04-10-03.yaml,[0.4013996]
04-11-01.yaml,[-0.9975988]
04-11-03.yaml,[-0.99759656]
04-12-01.yaml,[-1.8207985]
04-12-02.yaml,[-0.9975971]
04-12-03.yaml,[-0.9975971]
04-13-01.yaml,[-0.9975971]
04-13-02.yaml,[-0.9975971]
04-13-03.yaml,[-0.9975971]
04-14-01.yaml,[-0.9975971]
04-14-02.yaml,[-0.9975971]
04-14-03.yaml,[-0.9975971]
04-15-01.yaml,[-0.9975971]
04-15-03.yaml,[-0.9975971]
04-16-01.yaml,[4.3134]
04-16-02.yaml,[4.3142]
04-16-03.yaml,[4.2958]
04-17-01.yaml,[4.1342]
04-17-02.yaml,[-0.9991994]
04-17-03.yaml,[-1.0023994]
04-18-01.yaml,[0.8174]
04-18-02.yaml,[-1.0007994]
04-18-03.yaml,[-0.99919945]
04-19-02.yaml,[-0.9975971]
04-19-03.yaml,[-0.9975971]
04-20-01.yaml,[-0.9975971]
04-20-02.yaml,[-0.9975971]
04-20-03.yaml,[-0.9975971]
04-21-01.yaml,[-0.9975971]
04-21-02.yaml,[-0.9975971]
04-21-03.yaml,[-0.9975971]
04-22-01.yaml,[-0.9975971]
04-22-02.yaml,[-0.9975971]
04-22-03.yaml,[-0.9975971]
04-23-01.yaml,[-1.0432]
04-23-03.yaml,[-1.0432]
04-24-02.yaml,[-1.0528]
04-25-01.yaml,[-1.8335984]
04-25-02.yaml,[-0.9975971]
04-25-03.yaml,[-0.9975971]
04-26-01.yaml,[-0.9975971]
04-26-02.yaml,[-0.9975971]
04-26-03.yaml,[-0.9975971]
04-27-01.yaml,[-0.9975971]
04-27-02.yaml,[-1.5968003]
04-27-03.yaml,[-0.9975971]
04-28-01.yaml,[-0.9975971]
04-28-02.yaml,[-0.9975971]
04-28-03.yaml,[-0.9975971]
04-29-01.yaml,[-0.0266]
04-29-03.yaml,[-0.02899998]
04-30-01.yaml,[0.84459996]
04-30-02.yaml,[-0.9975971]
04-30-03.yaml,[-0.9975971]
05-01-01.yaml,[0.5781994]
05-01-02.yaml,[0.44139946]
05-01-03.yaml,[0.5381992]
05-02-01.yaml,[0.7005999]
05-02-02.yaml,[0.7005999]
05-02-03.yaml,[0.7005999]
05-03-01.yaml,[-0.44900218]
05-03-02.yaml,[-0.4218017]
05-03-03.yaml,[-0.44900218]
05-04-01.yaml,[0.60219944]
05-04-02.yaml,[-0.9975971]
05-04-03.yaml,[-0.9975971]
05-05-01.yaml,[0.36140007]
05-05-03.yaml,[-0.9975971]
05-06-01.yaml,[-0.9975971]
05-06-02.yaml,[-0.9975971]
05-06-03.yaml,[-0.99880695]
05-07-01.yaml,[-0.9975971]
05-07-02.yaml,[-0.9975971]
05-07-03.yaml,[-0.9975971]
05-08-01.yaml,[-0.9975971]
05-08-02.yaml,[-0.9975971]
05-08-03.yaml,[-0.9975971]
05-09-02.yaml,[-0.9975971]
05-09-03.yaml,[-0.9975971]
