,episode_reward
0,21.48869992629625
1,20.98910032224376
2,21.437100644106977
3,21.00270042719785
4,17.6929496814264
5,21.16590018069837
6,18.05055037897546
7,21.577899034600705
8,20.22550053207669
9,17.991350381897064
10,21.505900230258703
11,21.57550022681244
12,21.39309999742545
13,21.269500241964124
14,15.356800079520326
15,18.004150142834987
16,21.394300235784613
17,21.14830048638396
18,21.26629959326237
19,20.762700439081527
20,21.24309976643417
21,21.419499996118248
22,18.268149891344365
23,21.008299367618747
24,21.35270006582141
25,15.54519983177306
26,21.390700474381447
27,20.973100256640464
28,21.32190041139256
29,15.873200292378897
30,17.936549907783046
31,17.691750396741554
32,17.945750384154962
33,18.21294965565903
34,21.50030005851295
35,13.638650208624313
36,17.978150620969245
37,15.83320005593123
38,21.52789910347201
39,21.21789976768196
40,18.315750604262576
41,21.382300474797376
42,21.45910023257602
43,16.015200523776002
44,21.552700227941383
45,17.446950170444325
46,18.30935060456977
47,21.565900465706363
48,15.603199828910874
49,21.447100471588783
50,21.31189959100448
51,12.927450243849307
52,21.282700002891943
53,21.26669993728865
54,21.05069994798396
55,21.58590015990194
56,21.167100419057533
57,21.194300073664635
58,21.043500186759047
59,17.467749930976424
60,18.05095061735483
61,18.175350372795947
62,21.351900171488523
63,18.153349897038424
64,18.135350851604016
65,18.007749904238153
66,21.341100410441868
67,21.25190030923113
68,21.314699934911918
69,19.765899601159617
70,18.15495013538748
71,15.956799811392557
72,21.25749952730257
73,21.24910024297424
74,21.477100231684744
75,21.110700183431614
76,17.669749682565453
77,21.12109936203342
78,21.329499762156047
79,15.802800534293056
80,21.092700184322894
81,21.369900170597248
82,15.83199934073491
83,13.879850435099796
84,21.50389958149753
85,17.691750158322975
86,18.32215012708912
87,21.069899947033264
88,21.462300166022032
89,17.795750590768876
90,15.274400798865829
91,21.063500318559814
92,15.79400005788193
93,17.979750144062564
94,21.25990000402089
95,17.98695062054321
96,21.395500474143773
97,18.234950131416557
98,21.001100321649574
99,21.575100637273863
