"Step","Score_raw","Score_movingavg"
834,-0.999599950504489,-0.999599950504489
1101,NA,-0.999599950504489
1606,NA,-0.999599950504489
1668,-0.999599950504489,-0.999599950504489
2273,NA,-0.999599950504489
2502,-0.999599950504489,-0.999599950504489
2753,0.700800008024089,-0.574499960872344
2878,NA,-0.574499960872344
3537,NA,-0.574499960872344
3587,-0.999599950504489,-0.659519958798773
4241,NA,-0.659519958798773
4421,-0.999599950504489,-0.716199957416393
4825,NA,-0.716199957416393
5255,-0.999599950504489,-0.756685670714692
5426,NA,-0.756685670714692
5997,NA,-0.756685670714692
6089,-0.999599950504489,-0.787049955688417
6728,NA,-0.787049955688417
6923,-0.999599950504489,-0.810666621779092
7153,0.725600000005215,-0.657039959600661
7325,NA,-0.657039959600661
7987,-0.999599950504489,-0.688181776955554
8037,NA,-0.688181776955554
8190,0.757599991629831,-0.567699962906772
8653,NA,-0.567699962906772
9024,-0.999599950504489,-0.600923038875827
9354,NA,-0.600923038875827
9858,-0.999599950504489,-0.629399961135018
9950,NA,-0.629399961135018
10573,NA,-0.629399961135018
10692,-0.999599950504489,-0.654079960426316
10859,0.801199996261857,-0.563124963133305
11198,0.594399999710731,-0.495035259436597
11296,NA,-0.495035259436597
11983,NA,-0.495035259436597
12032,-0.999599950504489,-0.523066631162591
12448,0.502400011057034,-0.469094702624716
12713,NA,-0.469094702624716
13282,-0.999599950504489,-0.495619965018705
13402,NA,-0.495619965018705
14021,NA,-0.495619965018705
14116,-0.999599950504489,-0.519619011946599
14761,NA,-0.519619011946599
14950,-0.999599950504489,-0.541436327335594
15368,NA,-0.541436327335594
15784,-0.999599950504489,-0.561356484864676
15986,NA,-0.561356484864676
16609,NA,-0.561356484864676
16618,-0.999599950504489,-0.579616629266335
17347,NA,-0.579616629266335
17452,-0.999599950504489,-0.596415962115861
17961,NA,-0.596415962115861
18286,-0.999599950504489,-0.611923038592347
18581,NA,-0.611923038592347
19120,-0.999599950504489,-0.626281442737241
19206,NA,-0.626281442737241
19746,NA,-0.626281442737241
19954,-0.999599950504489,-0.639614246586072
20494,NA,-0.639614246586072
20788,-0.999599950504489,-0.65202754672119
21128,NA,-0.65202754672119
21622,-0.999599950504489,-0.663613293513966
21767,NA,-0.663613293513966
22397,NA,-0.663613293513966
22456,-0.999599950504489,-0.674451572771725
23139,NA,-0.674451572771725
23290,-0.999599950504489,-0.684612459575874
23642,0.57880000048317,-0.646327233513479
23768,NA,-0.646327233513479
24475,NA,-0.646327233513479
24476,-0.999599950504489,-0.656717607542626
25211,NA,-0.656717607542626
25310,-0.999599950504489,-0.666514245912965
25849,NA,-0.666514245912965
26144,-0.999599950504489,-0.675766626596063
26461,NA,-0.675766626596063
26978,-0.999599950504489,-0.684518878593588
27101,NA,-0.684518878593588
27755,NA,-0.684518878593588
27812,-0.999599950504489,-0.692810485749138
28507,NA,-0.692810485749138
28646,-0.999599950504489,-0.700676882281326
29142,NA,-0.700676882281326
29480,-0.999599950504489,-0.708149958986905
29745,NA,-0.708149958986905
30314,-0.999599950504489,-0.715258495365383
30390,NA,-0.715258495365383
31021,NA,-0.715258495365383
31148,-0.999599950504489,-0.722028530011552
31771,NA,-0.722028530011552
31982,-0.999599950504489,-0.728483679325342
32428,NA,-0.728483679325342
32816,-0.999599950504489,-0.734645412761231
33073,NA,-0.734645412761231
33650,-0.999599950504489,-0.740533291377748
33724,NA,-0.740533291377748
33760,0.86959999287501,-0.705530393893992
34361,NA,-0.705530393893992
34594,-0.999599950504489,-0.711787192970811
35073,NA,-0.711787192970811
35428,-0.999599950504489,-0.711787192970811
35709,NA,-0.711787192970811
36262,-0.999599950504489,-0.717783292086096
36333,NA,-0.711787192970811
36967,NA,-0.711787192970811
37096,-0.999599950504489,-0.711787192970811
37716,NA,-0.742495610383744
37930,-0.999599950504489,-0.747965915492696
38345,NA,-0.747965915492696
38764,-0.999599950504489,-0.747965915492696
38987,NA,-0.747965915492696
39543,NA,-0.742495610383744
39598,-0.999599950504489,-0.747965915492696
40285,NA,-0.742495610383744
40432,-0.999599950504489,-0.747965915492696
40917,NA,-0.747965915492696
41266,-0.999599950504489,-0.747965915492696
41551,NA,-0.747965915492696
42100,-0.999599950504489,-0.747965915492696
42190,NA,-0.779999957133955
42855,NA,-0.779999957133955
42934,-0.999599950504489,-0.779999957133955
43601,NA,-0.779999957133955
43768,-0.999599950504489,-0.818199955876005
44255,NA,-0.818199955876005
44602,-0.999599950504489,-0.818199955876006
44903,NA,-0.818199955876006
45436,-0.999599950504489,-0.818199955876006
45540,NA,-0.818199955876006
45571,0.839199987589382,-0.782936127291636
45707,0.838399994419888,-0.743829745484734
46181,NA,-0.777417348566181
46541,-0.999599950504489,-0.812069521396947
46705,0.80520000285469,-0.777659531519253
46849,0.828799994895235,-0.744191624718951
46924,NA,-0.738757405021386
46948,0.882799992221408,-0.730663788400868
47102,0.816799995489419,-0.69842495956982
47455,0.578400014084764,-0.665549960307544
47586,0.844399994122796,-0.634734655115088
47665,NA,-0.634734655115088
47732,0.826800001785159,-0.597461186701014
47821,0.895199998398311,-0.567607962999027
47910,0.895199998398311,-0.529711964020971
48035,0.852000000537373,-0.502619572559043
48102,0.920799983548932,-0.464964671891329
48180,0.907999990973622,-0.438561505297772
48351,0.795999989728443,-0.41526789218407
48400,NA,-0.404030737216369
48601,0.702000007964671,-0.383162232590312
48778,0.789199996856041,-0.349411290187283
49142,NA,-0.349411290187283
49216,0.476400019135326,-0.321562234156343
49331,0.863999999943189,-0.299607377969315
49849,NA,-0.286399970940349
50165,-0.999599950504489,-0.299607377969315
50579,NA,-0.299607377969315
50889,0.132800029357895,-0.278637007971863
50940,0.940799996140413,-0.256465426078913
