"Step","Score_raw","Score_movingavg"
834,-0.999599950504489,-0.999599950504489
1101,NA,-0.999599950504489
1693,NA,-0.999599950504489
2284,0.509750169148901,-0.244924890677794
2381,NA,-0.244924890677794
2909,NA,-0.244924890677794
3118,-0.999599950504489,-0.496483243953359
3609,NA,-0.496483243953359
3952,-0.999599950504489,-0.622262420591142
4205,NA,-0.622262420591142
4786,-0.999599950504489,-0.697729926573811
4814,NA,-0.697729926573811
5422,NA,-0.697729926573811
5620,-0.999599950504489,-0.748041597228924
6149,NA,-0.748041597228924
6769,NA,-0.748041597228924
7147,2.6651002568251,-0.260449903792635
7488,NA,-0.260449903792635
7981,-0.999599950504489,-0.352843659631617
8015,NA,-0.352843659631617
8653,NA,-0.352843659631617
8815,-0.999599950504489,-0.424705469728603
9376,NA,-0.424705469728603
9649,-0.999599950504489,-0.482194917806191
10000,NA,-0.482194917806191
10555,NA,-0.482194917806191
10952,0.685350160463713,-0.376054456145291
11280,NA,-0.376054456145291
11786,-0.999599950504489,-0.428016580675224
11860,NA,-0.428016580675224
12488,NA,-0.428016580675224
12620,-0.999599950504489,-0.471984532200552
13211,NA,-0.471984532200552
13454,-0.999599950504489,-0.50967134779369
13837,NA,-0.50967134779369
14288,-0.999599950504489,-0.542333254641077
14454,NA,-0.542333254641077
15077,NA,-0.542333254641077
15122,-0.999599950504489,-0.57091242313254
15810,NA,-0.57091242313254
15956,-0.999599950504489,-0.596129336507361
16457,NA,-0.596129336507361
16790,-0.999599950504489,-0.618544370618312
17096,NA,-0.618544370618312
17726,NA,-0.618544370618312
18320,0.413750173902372,-0.564213078801434
18467,NA,-0.564213078801434
19017,NA,-0.564213078801434
19154,-0.999599950504489,-0.585982422386587
19753,NA,-0.585982422386587
19988,-0.999599950504489,-0.605678495154106
20319,NA,-0.605678495154106
20822,-0.999599950504489,-0.623584015851851
20963,NA,-0.623584015851851
21612,NA,-0.623584015851851
22349,NA,-0.623584015851851
22356,2.65590025729034,-0.480997743106538
23095,NA,-0.480997743106538
23654,NA,-0.480997743106538
24385,NA,-0.480997743106538
25135,NA,-0.480997743106538
25229,5.54460026463494,-0.229931159450643
25885,NA,-0.229931159450643
26347,NA,-0.229931159450643
26935,2.4495002675103,-0.122753902372206
27097,NA,-0.122753902372206
27653,NA,-0.122753902372206
27769,-0.999599950504489,-0.156478750377293
28390,NA,-0.156478750377293
28603,-0.999599950504489,-0.187705461493115
29049,NA,-0.187705461493115
29437,-0.999599950504489,-0.216701693243522
29709,NA,-0.216701693243522
30271,-0.999599950504489,-0.24369818487321
30301,NA,-0.24369818487321
30965,NA,-0.24369818487321
31695,11.7797003446904,0.157081766112243
31718,NA,0.157081766112243
32308,NA,0.157081766112243
33062,NA,0.157081766112243
33809,NA,0.157081766112243
33853,13.1458502330352,0.576074297303307
34551,NA,0.576074297303307
35019,NA,0.576074297303307
35751,NA,0.576074297303307
36196,15.1719998502522,1.03219697083296
36493,NA,1.03219697083296
36947,NA,1.03219697083296
37693,NA,1.03219697083296
38197,15.5828003067581,1.47312434464887
38447,NA,1.47312434464887
38948,NA,1.47312434464887
39693,NA,1.47312434464887
40369,NA,1.47312434464887
40537,17.4229506484699,1.94223688299655
41118,NA,1.94223688299655
41580,NA,1.94223688299655
42326,NA,1.94223688299655
42473,17.9085503859969,2.39841726879656
43074,NA,2.39841726879656
43597,NA,2.49835895171718
44352,NA,2.49835895171718
44382,15.6931998244545,2.87535440522396
45114,NA,2.94493100040264
45627,NA,2.94493100040264
46381,NA,2.94493100040264
46401,15.5603995926213,3.43198981049457
47141,NA,3.43198981049457
47172,21.5543000558391,4.09533981068115
47657,NA,4.09533981068115
48317,NA,4.24973192465647
49077,NA,4.24973192465647
49345,15.3755998401903,4.57696333393688
49839,NA,4.74595010013207
50238,NA,4.74595010013207
51000,NA,4.74595010013207
51420,17.7413496790105,5.2028061432286
51759,NA,5.2028061432286
52269,NA,5.39663133365776
53023,NA,5.39663133365776
53075,18.2457498924632,5.78599856271247
53774,NA,5.9980485162505
54317,NA,5.9980485162505
54659,18.3309506035002,6.60212822106315
55057,NA,6.60212822106315
55612,NA,6.60212822106315
56362,NA,6.79299202946958
56411,18.1285503751133,7.14722822777094
57103,NA,7.41002913674757
57675,NA,7.41002913674757
58061,13.7554504412692,7.60832355251387
58429,NA,7.88599850422414
58923,21.4450998228276,8.3097204204305
58978,NA,8.61002107755744
59628,NA,8.61002107755744
60317,NA,8.93034177849283
60760,18.0273499032774,9.22379365348588
61067,NA,9.22379365348588
61585,NA,9.56457344028556
62349,NA,9.56457344028556
62505,18.1373496594024,10.2024717606158
63105,NA,10.2024717606158
63254,21.5799003986176,10.9551217722532
63645,NA,10.9551217722532
64068,21.5027002968127,11.2953662407874
64316,NA,11.6580867763502
64973,NA,11.6580867763502
65740,NA,11.6580867763502
66111,17.7801506307733,12.2840784623928
66498,NA,12.2840784623928
66994,NA,12.7421363386996
67762,NA,12.7421363386996
68005,17.9585499066743,13.3958656441196
68524,NA,13.3958656441196
69053,NA,13.3958656441196
69643,16.0184005236079,13.4832834734358
69816,NA,13.8566415153719
70294,NA,13.8566415153719
71053,NA,13.8566415153719
71249,18.3037501280196,14.0048784691268
71820,NA,14.0048784691268
72382,NA,14.2966122003162
72430,21.0618997754063,14.5221217861525
73145,NA,14.5221217861525
73760,NA,14.9384190798988
74189,18.120950852317,15.0445034723127
74510,NA,15.0445034723127
75048,NA,15.5977484179271
75790,NA,15.5977484179271
76508,15.2007998488261,16.1563828937661
76532,NA,16.1563828937661
76987,NA,16.7690965667758
77734,NA,16.7690965667758
78244,15.9008005294309,17.372682298202
78489,NA,17.372682298202
79020,NA,17.372682298202
79773,NA,17.5798297779617
