"Step","Score_raw","Score_movingavg"
1668,-0.999999950494384,-0.999999950494384
1837,NA,-0.999999950494384
2086,-0.999199950543698,-0.999599950519041
2504,-0.999199950543698,-0.999466617193927
2529,NA,-0.999466617193927
2922,-0.999199950543698,-0.999399950531369
3467,NA,-0.999399950531369
3803,-1.05599998845719,-1.01071995811653
4349,NA,-1.01071995811653
5164,NA,-1.01071995811653
6173,NA,-1.01071995811653
7165,NA,-1.01071995811653
8203,NA,-1.01071995811653
8271,1.31620032225328,-0.622899911388231
8689,-0.999199950543698,-0.676657059839012
9107,-0.999199950543698,-0.716974921177098
9240,NA,-0.716974921177098
9525,-0.999199950543698,-0.748333257773387
10189,NA,-0.748333257773387
10359,-0.999599950504489,-0.773459927046497
10777,-0.999199950543698,-0.793981747364424
10946,0.597400019178167,-0.678033266819209
10997,0.879000037675723,-0.558261474165752
11184,NA,-0.558261474165752
11415,-0.999199950543698,-0.58975707962132
11833,-0.999199950543698,-0.617053271016145
12229,NA,-0.617053271016145
12415,-1.34759997599758,-0.662712440077485
13089,-0.615399888367392,-0.65992934880042
13197,NA,-0.65992934880042
13507,-0.999199950543698,-0.678777715563936
13925,-0.999199950543698,-0.695642043720765
14193,NA,-0.695642043720765
14759,-0.999599950504489,-0.710839939059952
15005,NA,-0.710839939059952
15856,NA,-0.710839939059952
16886,NA,-0.710839939059952
17955,NA,-0.710839939059952
19013,NA,-0.710839939059952
19113,7.37820067303255,-0.325647528960309
19531,-0.999199950543698,-0.35626354812319
19949,-0.999199950543698,-0.384217304750169
20096,NA,-0.384217304750169
20367,-0.999199950543698,-0.409841581658232
21111,NA,-0.409841581658232
21201,-0.999599950504489,-0.433431916412083
21619,-0.999199950543698,-0.455192225417145
22037,-0.999199950543698,-0.475340659681091
22048,0.975799986859784,-0.423514208018917
22106,NA,-0.423514208018917
22466,-0.999199950543698,-0.443365440519772
22884,-0.999199950543698,-0.461893257520569
23153,NA,-0.461893257520569
24146,NA,-0.461893257520569
25229,NA,-0.461893257520569
25623,1.35440015239874,-0.403303147523172
26041,-0.999199950543698,-0.421924922617563
26309,NA,-0.421924922617563
26459,-0.999199950543698,-0.439418105281992
26582,4.70300011127256,-0.288170510677446
27328,NA,-0.288170510677446
27416,-0.999599950504489,-0.308497066101076
28412,NA,-0.308497066101076
29389,NA,-0.308497066101076
30359,NA,-0.308497066101076
31442,NA,-0.308497066101076
32528,NA,-0.308497066101076
33569,NA,-0.308497066101076
34621,NA,-0.308497066101076
35697,NA,-0.308497066101076
36789,NA,-0.308497066101076
37885,NA,-0.308497066101076
38580,28.26760204522,0.485283464768954
38985,NA,0.485283464768954
38986,NA,0.485283464768954
38998,-0.999199950543698,0.445162291382126
39178,4.56699977396056,0.5536316988184
39424,0.411800014786422,0.549994988971426
40147,NA,0.549994988971426
40258,-0.999599950504489,0.511255115484529
40676,-0.999199950543698,0.474414748020425
41094,-0.999199950543698,0.439328683768899
41100,0.9877999862656,0.452083830338589
41202,NA,0.452083830338589
41518,-0.999199950543698,0.41910010804581
41936,-0.999199950543698,0.387582328966043
42316,NA,0.387582328966043
42700,0.541600061929785,0.390930540552212
43183,-0.156199970690068,0.379289465844929
43381,NA,0.379289465844929
43601,-0.999199950543698,0.350570936336833
44019,-0.999199950543698,0.323024591706618
44033,-1.01380001893267,0.296288099493832
44325,NA,0.296288099493832
45450,NA,0.296288099493832
46076,1.77200015811832,0.325223630055096
46494,-0.999199950543698,0.299753945812812
46550,NA,0.299753945812812
46912,-0.999199950543698,0.275245381730614
47330,-0.999199950543698,0.251644542244052
47588,NA,0.275260476069306
48164,-0.999599950504489,0.251651949651272
48582,-0.999199950543698,0.251651949651272
48628,NA,0.275252928900234
49000,-0.999199950543698,0.251651949651272
