"","FinalReward"
"1",21.5431004668353
"2",21.501100468915
"3",21.4583000605926
"4",21.579099749797
"5",21.5799008754548
"6",21.5030999255832
"7",21.5818995776353
"8",21.5066994485678
"9",21.5771002931288
"10",21.5823003984988
"11",21.5822999216616
"12",21.5331001625163
"13",21.4679002985358
"14",21.5827002264559
"15",21.5774996834807
"16",21.5742999884533
"17",21.5491007049568
"18",21.5590993403457
"19",21.5830998159945
"20",21.5818991007982
"21",21.4598996893037
"22",21.5659004657064
"23",21.579900160199
"24",21.5818995776353
"25",21.5822999216616
"26",21.5147002962185
"27",21.5015002968721
"28",21.5818995776353
"29",21.5546999230282
"30",21.4967000586912
"31",21.512700401945
"32",21.5807005313691
"33",21.5482998177176
"34",21.5802999881562
"35",21.5562999893446
"36",21.4507007098291
"37",21.5826999880373
"38",21.5770998162916
"39",21.5819000544725
"40",21.5815002265153
"41",21.5826999880373
"42",21.5170993424254
"43",21.5814997496782
"44",21.5042996871052
"45",21.5794995777542
"46",21.5823008753359
"47",21.5450999235036
"48",21.5299004674889
"49",21.5819000544725
"50",21.4614992787829
"51",21.5822999216616
"52",21.508300706977
"53",21.5819000544725
"54",21.5823008753359
"55",21.5763001603773
"56",21.5763003987959
"57",21.5811003985582
"58",21.575500465231
"59",21.5678999223746
"60",21.495499820332
"61",21.5163004017668
"62",21.5055004023015
"63",21.5827004648745
"64",21.5830998159945
"65",21.3987004075898
"66",21.5067001638236
"67",21.4939004692715
"68",21.5695002271095
"69",21.5831002928317
"70",21.5711000550073
"71",21.5815007033525
"72",21.5802999881562
"73",21.5470995793585
"74",21.5807002929505
"75",21.5827004648745
"76",21.4975009459304
"77",21.503100640839
"78",21.4722997550853
"79",21.5819000544725
"80",21.5682997503318
"81",21.582299683243
"82",21.5811003985582
"83",21.5510996847879
"84",21.5814999880968
"85",21.5826999880373
"86",21.5666999224341
"87",21.5814999880968
"88",21.4982999258209
"89",21.5819005313097
"90",21.5811001601396
"91",21.5810994448839
"92",21.5702999222558
"93",21.5087002965156
"94",21.582299683243
"95",21.5178997528274
"96",21.5111002963968
"97",21.4995004025986
"98",21.5435000563739
"99",21.5819005313097
"100",21.5807000545319
