arena_name,episode_reward
04-06-01.yaml,-0.9991999505436979
05-26-02.yaml,-0.9995999505044892
09-14-02.yaml,-1.6315999159123749
07-14-03.yaml,-0.9991999505436979
08-19-01.yaml,-0.47739989441470243
02-15-03.yaml,-0.9995999505044892
07-17-01.yaml,-0.9991999505436979
01-10-01.yaml,-0.9995999505044892
03-25-02.yaml,-0.9991999505436979
08-08-03.yaml,-0.9991999505436979
07-30-03.yaml,-0.9995999505044892
06-26-03.yaml,-0.9991999505436979
05-15-03.yaml,-0.9995999505044892
09-25-01.yaml,-0.9991999505436979
01-13-01.yaml,-0.9991999505436979
10-19-01.yaml,-0.9869999091606587
06-20-01.yaml,-0.9995999505044892
07-16-03.yaml,-0.9995999505044892
03-14-01.yaml,-0.9991999505436979
02-28-03.yaml,-0.9991999505436979
06-16-02.yaml,-1.1822000173851848
06-01-03.yaml,-0.9991999505436979
06-25-03.yaml,-0.9995999505044892
05-28-02.yaml,-0.9991999505436979
08-16-01.yaml,-0.9991999505436979
03-09-03.yaml,-1.190199970966205
07-14-01.yaml,-1.0015999427996576
05-27-02.yaml,-0.9991999505436979
06-07-01.yaml,-0.9991999505436979
09-21-03.yaml,-1.2920000127051026
08-07-01.yaml,-0.9995999505044892
03-07-03.yaml,-0.9991999505436979
02-26-03.yaml,-0.9991999505436979
10-11-03.yaml,-0.9991999505436979
10-02-03.yaml,-0.9991999505436979
03-28-02.yaml,-0.9995999505044892
06-14-03.yaml,-0.9995999505044892
08-03-02.yaml,-0.9991999505436979
02-01-02.yaml,-0.9991999505436979
09-28-01.yaml,-0.9991999505436979
07-10-03.yaml,-0.9991999505436979
05-12-02.yaml,-0.9991999505436979
02-28-01.yaml,-0.9991999505436979
10-15-03.yaml,-0.9991999505436979
05-16-02.yaml,-1.1902000101981685
09-24-03.yaml,-0.9991999505436979
08-22-02.yaml,1.1356000548694283
06-10-02.yaml,-0.9991999505436979
03-26-01.yaml,-0.9995999505044892
02-02-03.yaml,-0.9991999505436979
05-08-03.yaml,-0.9991999505436979
09-27-02.yaml,-0.9991999505436979
01-26-01.yaml,-0.9991999505436979
09-25-03.yaml,-0.9991999505436979
04-17-01.yaml,-0.9991999505436979
04-21-02.yaml,-0.9991999505436979
02-03-03.yaml,-0.9995999505044892
03-06-01.yaml,-0.9991999505436979
05-19-02.yaml,-0.9995999505044892
08-11-03.yaml,-0.9991999505436979
04-12-02.yaml,-0.9991999505436979
03-08-03.yaml,-0.9995999505044892
07-23-02.yaml,-0.9991999505436979
06-07-03.yaml,-0.9995999505044892
09-16-03.yaml,-0.9999999504943844
08-15-03.yaml,-0.9991999505436979
02-13-02.yaml,-0.9991999505436979
01-08-02.yaml,-0.3289999417611398
03-29-01.yaml,-0.9991999505436979
03-12-03.yaml,-0.9991999505436979
06-28-02.yaml,-0.9991999505436979
10-16-03.yaml,-0.9999999504943844
05-22-01.yaml,-0.9991999505436979
08-01-01.yaml,-0.9991999505436979
07-25-02.yaml,-0.9991999505436979
02-02-02.yaml,0.33000006759539247
08-18-02.yaml,-0.9991999505436979
04-21-03.yaml,-0.9995999505044892
07-05-01.yaml,-0.9999999504943844
03-29-02.yaml,-0.9991999505436979
07-07-01.yaml,-0.9991999505436979
03-30-03.yaml,-0.9991999505436979
05-07-01.yaml,-0.9991999505436979
02-12-02.yaml,-0.9991999505436979
09-19-03.yaml,-0.9991999505436979
10-26-03.yaml,-1.0392000116407871
09-12-03.yaml,-0.9991999505436979
03-14-03.yaml,-0.9991999505436979
02-04-02.yaml,-0.9991999505436979
04-08-02.yaml,-0.9991999505436979
01-23-02.yaml,-0.9999999504943844
03-19-03.yaml,-0.9991999505436979
07-04-01.yaml,-0.9995999505044892
01-08-03.yaml,-0.9991999505436979
08-10-03.yaml,-0.9999999504943844
02-18-03.yaml,-0.9991999505436979
07-26-02.yaml,-0.9991999505436979
04-28-03.yaml,-0.9991999505436979
02-22-03.yaml,-0.9991999505436979
08-24-03.yaml,0.8674000058090314
02-14-03.yaml,-0.9995999505044892
08-26-01.yaml,-1.0063999453559518
06-12-02.yaml,0.527800022624433
04-13-02.yaml,-0.9995999505044892
05-16-01.yaml,-0.9995999505044892
08-25-01.yaml,-0.9991999505436979
08-02-01.yaml,-0.9991999505436979
10-25-03.yaml,-0.9991999505436979
02-19-03.yaml,-0.9995999505044892
04-12-03.yaml,-0.9991999505436979
06-04-02.yaml,-0.9995999505044892
09-15-03.yaml,-0.9991999505436979
09-27-01.yaml,-0.9991999505436979
07-21-01.yaml,-0.9999999504943844
06-20-03.yaml,-0.9995999505044892
10-04-02.yaml,-0.9995999505044892
05-12-03.yaml,-0.9995999505044892
10-02-02.yaml,0.7798000101465732
10-30-02.yaml,-0.9991999505436979
03-28-01.yaml,-0.9995999505044892
08-16-02.yaml,-0.9991999505436979
03-13-02.yaml,-0.9995999505044892
09-20-03.yaml,-0.9991999505436979
07-19-03.yaml,-0.9991999505436979
07-15-02.yaml,-0.9999999504943844
01-18-03.yaml,-0.9995999505044892
08-14-01.yaml,-0.067799954675138
06-27-01.yaml,-0.9995999505044892
08-21-02.yaml,-0.9991999505436979
04-30-02.yaml,-0.9995999505044892
06-24-03.yaml,-1.044800024945289
03-14-02.yaml,-0.9991999505436979
05-08-01.yaml,-0.9995999505044892
10-18-02.yaml,-1.3655999954789877
08-03-01.yaml,-0.9995999505044892
09-26-01.yaml,-1.4379999390803277
01-23-01.yaml,-1.0280000257771462
04-29-02.yaml,-0.9991999505436979
03-22-01.yaml,-0.9991999505436979
