"Step","PPO (default), operantCurriculum E, timescale=1, 400K timesteps - rollout/ep_rew_mean","PPO (default), operantCurriculum E, timescale=1, 400K timesteps - rollout/ep_rew_mean__MIN","PPO (default), operantCurriculum E, timescale=1, 400K timesteps - rollout/ep_rew_mean__MAX","PPO (default), operantCurriculum D, timescale=1, 400K timesteps - rollout/ep_rew_mean","PPO (default), operantCurriculum D, timescale=1, 400K timesteps - rollout/ep_rew_mean__MIN","PPO (default), operantCurriculum D, timescale=1, 400K timesteps - rollout/ep_rew_mean__MAX","PPO (default), operantCurriculum C, timescale=1, 400K timesteps - rollout/ep_rew_mean","PPO (default), operantCurriculum C, timescale=1, 400K timesteps - rollout/ep_rew_mean__MIN","PPO (default), operantCurriculum C, timescale=1, 400K timesteps - rollout/ep_rew_mean__MAX","PPO (default), operantCurriculum B, timescale=1, 400K timesteps - rollout/ep_rew_mean","PPO (default), operantCurriculum B, timescale=1, 400K timesteps - rollout/ep_rew_mean__MIN","PPO (default), operantCurriculum B, timescale=1, 400K timesteps - rollout/ep_rew_mean__MAX","PPO (default), operantCurriculum A, timescale=1, 400K timesteps - rollout/ep_rew_mean","PPO (default), operantCurriculum A, timescale=1, 400K timesteps - rollout/ep_rew_mean__MIN","PPO (default), operantCurriculum A, timescale=1, 400K timesteps - rollout/ep_rew_mean__MAX"
"17","-0.5940279960632324","-0.5940279960632324","-0.5940279960632324","-0.37477999925613403","-0.37477999925613403","-0.37477999925613403","0.1061440035700798","0.1061440035700798","0.1061440035700798","0.9524959921836853","0.9524959921836853","0.9524959921836853","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"18","-0.5940279960632324","-0.5940279960632324","-0.5940279960632324","-0.3541800081729889","-0.3541800081729889","-0.3541800081729889","0.06728799641132355","0.06728799641132355","0.06728799641132355","0.9559999704360962","0.9559999704360962","0.9559999704360962","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"19","-0.6125400066375732","-0.6125400066375732","-0.6125400066375732","-0.3343839943408966","-0.3343839943408966","-0.3343839943408966","0.028384000062942505","0.028384000062942505","0.028384000062942505","0.9548280239105225","0.9548280239105225","0.9548280239105225","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"20","-0.6476680040359497","-0.6476680040359497","-0.6476680040359497","-0.29615598917007446","-0.29615598917007446","-0.29615598917007446","-0.02982800081372261","-0.02982800081372261","-0.02982800081372261","0.9536200165748596","0.9536200165748596","0.9536200165748596","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"21","-0.6485919952392578","-0.6485919952392578","-0.6485919952392578","-0.2764439880847931","-0.2764439880847931","-0.2764439880847931","-0.0686199963092804","-0.0686199963092804","-0.0686199963092804","0.9548599720001221","0.9548599720001221","0.9548599720001221","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"22","-0.6671680212020874","-0.6671680212020874","-0.6671680212020874","-0.25614801049232483","-0.25614801049232483","-0.25614801049232483","-0.12676000595092773","-0.12676000595092773","-0.12676000595092773","0.9553279876708984","0.9553279876708984","0.9553279876708984","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"23","-0.6682919859886169","-0.6682919859886169","-0.6682919859886169","-0.2355560064315796","-0.2355560064315796","-0.2355560064315796","-0.16566799581050873","-0.16566799581050873","-0.16566799581050873","0.9351879954338074","0.9351879954338074","0.9351879954338074","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"24","-0.6682919859886169","-0.6682919859886169","-0.6682919859886169","-0.25453200936317444","-0.25453200936317444","-0.25453200936317444","-0.20455999672412872","-0.20455999672412872","-0.20455999672412872","0.9154000282287598","0.9154000282287598","0.9154000282287598","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"25","-0.6682919859886169","-0.6682919859886169","-0.6682919859886169","-0.2539759874343872","-0.2539759874343872","-0.2539759874343872","-0.2515600025653839","-0.2515600025653839","-0.2515600025653839","0.8953719735145569","0.8953719735145569","0.8953719735145569","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"26","-0.6660640239715576","-0.6660640239715576","-0.6660640239715576","-0.22934399545192719","-0.22934399545192719","-0.22934399545192719","-0.29047998785972595","-0.29047998785972595","-0.29047998785972595","0.9547399878501892","0.9547399878501892","0.9547399878501892","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"27","-0.6696599721908569","-0.6696599721908569","-0.6696599721908569","-0.2103320062160492","-0.2103320062160492","-0.2103320062160492","-0.3487040102481842","-0.3487040102481842","-0.3487040102481842","0.9354439973831177","0.9354439973831177","0.9354439973831177","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"28","-0.6802759766578674","-0.6802759766578674","-0.6802759766578674","-0.21664799749851227","-0.21664799749851227","-0.21664799749851227","-0.3874639868736267","-0.3874639868736267","-0.3874639868736267","0.9363120198249817","0.9363120198249817","0.9363120198249817","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"29","-0.6918479800224304","-0.6918479800224304","-0.6918479800224304","-0.21664799749851227","-0.21664799749851227","-0.21664799749851227","-0.387472003698349","-0.387472003698349","-0.387472003698349","0.9535679817199707","0.9535679817199707","0.9535679817199707","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"30","-0.6729080080986023","-0.6729080080986023","-0.6729080080986023","-0.20019599795341492","-0.20019599795341492","-0.20019599795341492","-0.3487760126590729","-0.3487760126590729","-0.3487760126590729","0.9536439776420593","0.9536439776420593","0.9536439776420593","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"31","-0.6916679739952087","-0.6916679739952087","-0.6916679739952087","-0.19731199741363525","-0.19731199741363525","-0.19731199741363525","-0.3488680124282837","-0.3488680124282837","-0.3488680124282837","0.9562720060348511","0.9562720060348511","0.9562720060348511","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"32","-0.6728479862213135","-0.6728479862213135","-0.6728479862213135","-0.17872799932956696","-0.17872799932956696","-0.17872799932956696","-0.3496200144290924","-0.3496200144290924","-0.3496200144290924","0.9560080170631409","0.9560080170631409","0.9560080170631409","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"33","-0.67194002866745","-0.67194002866745","-0.67194002866745","-0.17709200084209442","-0.17709200084209442","-0.17709200084209442","-0.3556720018386841","-0.3556720018386841","-0.3556720018386841","0.9561759829521179","0.9561759829521179","0.9561759829521179","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"34","-0.6894320249557495","-0.6894320249557495","-0.6894320249557495","-0.15408000349998474","-0.15408000349998474","-0.15408000349998474","-0.37510401010513306","-0.37510401010513306","-0.37510401010513306","0.9568840265274048","0.9568840265274048","0.9568840265274048","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"35","-0.6839479804039001","-0.6839479804039001","-0.6839479804039001","-0.1523679941892624","-0.1523679941892624","-0.1523679941892624","-0.3943040072917938","-0.3943040072917938","-0.3943040072917938","0.9559760093688965","0.9559760093688965","0.9559760093688965","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"36","-0.6837000250816345","-0.6837000250816345","-0.6837000250816345","-0.13342399895191193","-0.13342399895191193","-0.13342399895191193","-0.4136959910392761","-0.4136959910392761","-0.4136959910392761","0.9561079740524292","0.9561079740524292","0.9561079740524292","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"37","-0.6664360165596008","-0.6664360165596008","-0.6664360165596008","-0.11376400291919708","-0.11376400291919708","-0.11376400291919708","-0.39612001180648804","-0.39612001180648804","-0.39612001180648804","0.9561079740524292","0.9561079740524292","0.9561079740524292","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"38","-0.6695960164070129","-0.6695960164070129","-0.6695960164070129","-0.11340799927711487","-0.11340799927711487","-0.11340799927711487","-0.3959920108318329","-0.3959920108318329","-0.3959920108318329","0.956167995929718","0.956167995929718","0.956167995929718","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"39","-0.6560760140419006","-0.6560760140419006","-0.6560760140419006","-0.11350800096988678","-0.11350800096988678","-0.11350800096988678","-0.3967680037021637","-0.3967680037021637","-0.3967680037021637","0.9375119805335999","0.9375119805335999","0.9375119805335999","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"40","-0.6560760140419006","-0.6560760140419006","-0.6560760140419006","-0.11360800266265869","-0.11360800266265869","-0.11360800266265869","-0.41624000668525696","-0.41624000668525696","-0.41624000668525696","0.9179319739341736","0.9179319739341736","0.9179319739341736","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"41","-0.6530799865722656","-0.6530799865722656","-0.6530799865722656","-0.11315999925136566","-0.11315999925136566","-0.11315999925136566","-0.4163680076599121","-0.4163680076599121","-0.4163680076599121","0.9368600249290466","0.9368600249290466","0.9368600249290466","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"42","-0.6530799865722656","-0.6530799865722656","-0.6530799865722656","-0.1130720004439354","-0.1130720004439354","-0.1130720004439354","-0.39702799916267395","-0.39702799916267395","-0.39702799916267395","0.9561880230903625","0.9561880230903625","0.9561880230903625","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"43","-0.6611040234565735","-0.6611040234565735","-0.6611040234565735","-0.11309199780225754","-0.11309199780225754","-0.11309199780225754","-0.3970800042152405","-0.3970800042152405","-0.3970800042152405","0.9563159942626953","0.9563159942626953","0.9563159942626953","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"44","-0.643060028553009","-0.643060028553009","-0.643060028553009","-0.11220400035381317","-0.11220400035381317","-0.11220400035381317","-0.39714398980140686","-0.39714398980140686","-0.39714398980140686","0.955344021320343","0.955344021320343","0.955344021320343","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"45","-0.6455479860305786","-0.6455479860305786","-0.6455479860305786","-0.11187200248241425","-0.11187200248241425","-0.11187200248241425","-0.41668400168418884","-0.41668400168418884","-0.41668400168418884","0.9555280208587646","0.9555280208587646","0.9555280208587646","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"46","-0.6299239993095398","-0.6299239993095398","-0.6299239993095398","-0.11170800030231476","-0.11170800030231476","-0.11170800030231476","-0.4170680046081543","-0.4170680046081543","-0.4170680046081543","0.9567919969558716","0.9567919969558716","0.9567919969558716","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"47","-0.635807991027832","-0.635807991027832","-0.635807991027832","-0.09243199974298477","-0.09243199974298477","-0.09243199974298477","-0.4172160029411316","-0.4172160029411316","-0.4172160029411316","0.9564039707183838","0.9564039707183838","0.9564039707183838","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"48","-0.6226080060005188","-0.6226080060005188","-0.6226080060005188","-0.07287999987602234","-0.07287999987602234","-0.07287999987602234","-0.4366840124130249","-0.4366840124130249","-0.4366840124130249","0.9557520151138306","0.9557520151138306","0.9557520151138306","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"49","-0.6051239967346191","-0.6051239967346191","-0.6051239967346191","-0.07279200106859207","-0.07279200106859207","-0.07279200106859207","-0.4366840124130249","-0.4366840124130249","-0.4366840124130249","0.9560719728469849","0.9560719728469849","0.9560719728469849","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"50","-0.5894280076026917","-0.5894280076026917","-0.5894280076026917","-0.07152800261974335","-0.07152800261974335","-0.07152800261974335","-0.4561440050601959","-0.4561440050601959","-0.4561440050601959","0.9553679823875427","0.9553679823875427","0.9553679823875427","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"51","-0.5857800245285034","-0.5857800245285034","-0.5857800245285034","-0.04481999948620796","-0.04481999948620796","-0.04481999948620796","-0.4632759988307953","-0.4632759988307953","-0.4632759988307953","0.9564399719238281","0.9564399719238281","0.9564399719238281","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"52","-0.566976010799408","-0.566976010799408","-0.566976010799408","-0.04447999969124794","-0.04447999969124794","-0.04447999969124794","-0.4512920081615448","-0.4512920081615448","-0.4512920081615448","0.9567599892616272","0.9567599892616272","0.9567599892616272","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"53","-0.5298320055007935","-0.5298320055007935","-0.5298320055007935","-0.06119599938392639","-0.06119599938392639","-0.06119599938392639","-0.4521639943122864","-0.4521639943122864","-0.4521639943122864","0.9360479712486267","0.9360479712486267","0.9360479712486267","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"54","-0.5285279750823975","-0.5285279750823975","-0.5285279750823975","-0.06016800180077553","-0.06016800180077553","-0.06016800180077553","-0.47282400727272034","-0.47282400727272034","-0.47282400727272034","0.9318199753761292","0.9318199753761292","0.9318199753761292","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"55","-0.5097200274467468","-0.5097200274467468","-0.5097200274467468","-0.0589120015501976","-0.0589120015501976","-0.0589120015501976","-0.4646320044994354","-0.4646320044994354","-0.4646320044994354","0.9518960118293762","0.9518960118293762","0.9518960118293762","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"56","-0.49208399653434753","-0.49208399653434753","-0.49208399653434753","-0.06082800030708313","-0.06082800030708313","-0.06082800030708313","-0.46682798862457275","-0.46682798862457275","-0.46682798862457275","0.9558640122413635","0.9558640122413635","0.9558640122413635","-0.9995999932289124","-0.9995999932289124","-0.9995999932289124"
"57","-0.47357600927352905","-0.47357600927352905","-0.47357600927352905","-0.06047600135207176","-0.06047600135207176","-0.06047600135207176","-0.4477440118789673","-0.4477440118789673","-0.4477440118789673","0.9559239745140076","0.9559239745140076","0.9559239745140076","-0.9804999828338623","-0.9804999828338623","-0.9804999828338623"
"58","-0.45781999826431274","-0.45781999826431274","-0.45781999826431274","-0.06021999940276146","-0.06021999940276146","-0.06021999940276146","-0.4478200078010559","-0.4478200078010559","-0.4478200078010559","0.9492959976196289","0.9492959976196289","0.9492959976196289","-0.9804999828338623","-0.9804999828338623","-0.9804999828338623"
"59","-0.4525359869003296","-0.4525359869003296","-0.4525359869003296","-0.05942799896001816","-0.05942799896001816","-0.05942799896001816","-0.4478200078010559","-0.4478200078010559","-0.4478200078010559","0.9483000040054321","0.9483000040054321","0.9483000040054321","-0.9804999828338623","-0.9804999828338623","-0.9804999828338623"
"60","-0.4381439983844757","-0.4381439983844757","-0.4381439983844757","-0.05936000123620033","-0.05936000123620033","-0.05936000123620033","-0.467303991317749","-0.467303991317749","-0.467303991317749","0.9548640251159668","0.9548640251159668","0.9548640251159668","-0.9804999828338623","-0.9804999828338623","-0.9804999828338623"
"61","-0.43975600600242615","-0.43975600600242615","-0.43975600600242615","-0.05886400118470192","-0.05886400118470192","-0.05886400118470192","-0.46712398529052734","-0.46712398529052734","-0.46712398529052734","0.9160240292549133","0.9160240292549133","0.9160240292549133","-0.9804999828338623","-0.9804999828338623","-0.9804999828338623"
"62","-0.4231320023536682","-0.4231320023536682","-0.4231320023536682","-0.039820000529289246","-0.039820000529289246","-0.039820000529289246","-0.4477840065956116","-0.4477840065956116","-0.4477840065956116","0.8938040137290955","0.8938040137290955","0.8938040137290955","-0.9804999828338623","-0.9804999828338623","-0.9804999828338623"
"63","-0.422868013381958","-0.422868013381958","-0.422868013381958","-0.0394119992852211","-0.0394119992852211","-0.0394119992852211","-0.4512600004673004","-0.4512600004673004","-0.4512600004673004","0.8715999722480774","0.8715999722480774","0.8715999722480774","-0.9804999828338623","-0.9804999828338623","-0.9804999828338623"
"64","-0.4237479865550995","-0.4237479865550995","-0.4237479865550995","-0.0390160009264946","-0.0390160009264946","-0.0390160009264946","-0.4481320083141327","-0.4481320083141327","-0.4481320083141327","0.8489519953727722","0.8489519953727722","0.8489519953727722","-0.9804999828338623","-0.9804999828338623","-0.9804999828338623"
"65","-0.4228839874267578","-0.4228839874267578","-0.4228839874267578","-0.03813999891281128","-0.03813999891281128","-0.03813999891281128","-0.4317600131034851","-0.4317600131034851","-0.4317600131034851","0.9143480062484741","0.9143480062484741","0.9143480062484741","-0.9804999828338623","-0.9804999828338623","-0.9804999828338623"
"66","-0.42289599776268005","-0.42289599776268005","-0.42289599776268005","-0.03774400055408478","-0.03774400055408478","-0.03774400055408478","-0.41449999809265137","-0.41449999809265137","-0.41449999809265137","0.9563279747962952","0.9563279747962952","0.9563279747962952","-0.9804999828338623","-0.9804999828338623","-0.9804999828338623"
"67","-0.42336800694465637","-0.42336800694465637","-0.42336800694465637","-0.037303999066352844","-0.037303999066352844","-0.037303999066352844","-0.41231998801231384","-0.41231998801231384","-0.41231998801231384","0.9562399983406067","0.9562399983406067","0.9562399983406067","-0.9804999828338623","-0.9804999828338623","-0.9804999828338623"
"68","-0.4229080080986023","-0.4229080080986023","-0.4229080080986023","-0.03752800077199936","-0.03752800077199936","-0.03752800077199936","-0.4319800138473511","-0.4319800138473511","-0.4319800138473511","0.9563440084457397","0.9563440084457397","0.9563440084457397","-0.9804999828338623","-0.9804999828338623","-0.9804999828338623"
"69","-0.402895987033844","-0.402895987033844","-0.402895987033844","-0.03670400008559227","-0.03670400008559227","-0.03670400008559227","-0.4319800138473511","-0.4319800138473511","-0.4319800138473511","0.9351599812507629","0.9351599812507629","0.9351599812507629","-0.9804999828338623","-0.9804999828338623","-0.9804999828338623"
"70","-0.40030398964881897","-0.40030398964881897","-0.40030398964881897","-0.03670800104737282","-0.03670800104737282","-0.03670800104737282","-0.4316520094871521","-0.4316520094871521","-0.4316520094871521","0.8960800170898438","0.8960800170898438","0.8960800170898438","-0.9804999828338623","-0.9804999828338623","-0.9804999828338623"
"71","-0.3813520073890686","-0.3813520073890686","-0.3813520073890686","-0.03667600080370903","-0.03667600080370903","-0.03667600080370903","-0.4353959858417511","-0.4353959858417511","-0.4353959858417511","0.8767279982566833","0.8767279982566833","0.8767279982566833","-0.9804999828338623","-0.9804999828338623","-0.9804999828338623"
"72","-0.36180800199508667","-0.36180800199508667","-0.36180800199508667","-0.03596799820661545","-0.03596799820661545","-0.03596799820661545","-0.4551520049571991","-0.4551520049571991","-0.4551520049571991","0.9374279975891113","0.9374279975891113","0.9374279975891113","-0.9619839787483215","-0.9619839787483215","-0.9619839787483215"
"73","-0.3535839915275574","-0.3535839915275574","-0.3535839915275574","-0.03632400184869766","-0.03632400184869766","-0.03632400184869766","-0.455487996339798","-0.455487996339798","-0.455487996339798","0.9369919896125793","0.9369919896125793","0.9369919896125793","-0.9436119794845581","-0.9436119794845581","-0.9436119794845581"
"74","-0.35010001063346863","-0.35010001063346863","-0.35010001063346863","-0.036531999707221985","-0.036531999707221985","-0.036531999707221985","-0.47489601373672485","-0.47489601373672485","-0.47489601373672485","0.9369159936904907","0.9369159936904907","0.9369159936904907","-0.9252399802207947","-0.9252399802207947","-0.9252399802207947"
"75","-0.34825599193573","-0.34825599193573","-0.34825599193573","-0.03400000184774399","-0.03400000184774399","-0.03400000184774399","-0.4761280119419098","-0.4761280119419098","-0.4761280119419098","0.8977439999580383","0.8977439999580383","0.8977439999580383","-0.9252399802207947","-0.9252399802207947","-0.9252399802207947"
"76","-0.31610798835754395","-0.31610798835754395","-0.31610798835754395","-0.03407200053334236","-0.03407200053334236","-0.03407200053334236","-0.47866401076316833","-0.47866401076316833","-0.47866401076316833","0.9180439710617065","0.9180439710617065","0.9180439710617065","-0.9252399802207947","-0.9252399802207947","-0.9252399802207947"
"77","-0.31459200382232666","-0.31459200382232666","-0.31459200382232666","-0.03420799970626831","-0.03420799970626831","-0.03420799970626831","-0.4844039976596832","-0.4844039976596832","-0.4844039976596832","0.8789039850234985","0.8789039850234985","0.8789039850234985","-0.9252399802207947","-0.9252399802207947","-0.9252399802207947"
"78","-0.3320760130882263","-0.3320760130882263","-0.3320760130882263","-0.03229999914765358","-0.03229999914765358","-0.03229999914765358","-0.4845559895038605","-0.4845559895038605","-0.4845559895038605","0.8397759795188904","0.8397759795188904","0.8397759795188904","-0.9056839942932129","-0.9056839942932129","-0.9056839942932129"
"79","-0.32918399572372437","-0.32918399572372437","-0.32918399572372437","-0.03234399855136871","-0.03234399855136871","-0.03234399855136871","-0.4662719964981079","-0.4662719964981079","-0.4662719964981079","0.7810999751091003","0.7810999751091003","0.7810999751091003","-0.8870120048522949","-0.8870120048522949","-0.8870120048522949"
"80","-0.31001999974250793","-0.31001999974250793","-0.31001999974250793","-0.032416000962257385","-0.032416000962257385","-0.032416000962257385","-0.4662719964981079","-0.4662719964981079","-0.4662719964981079","0.7419840097427368","0.7419840097427368","0.7419840097427368","-0.8389999866485596","-0.8389999866485596","-0.8389999866485596"
"81","-0.3096199929714203","-0.3096199929714203","-0.3096199929714203","-0.05181200057268143","-0.05181200057268143","-0.05181200057268143","-0.4470039904117584","-0.4470039904117584","-0.4470039904117584","0.6832640171051025","0.6832640171051025","0.6832640171051025","-0.8389999866485596","-0.8389999866485596","-0.8389999866485596"
"82","-0.3282879889011383","-0.3282879889011383","-0.3282879889011383","-0.05180399864912033","-0.05180399864912033","-0.05180399864912033","-0.4348999857902527","-0.4348999857902527","-0.4348999857902527","0.6590440273284912","0.6590440273284912","0.6590440273284912","-0.8021960258483887","-0.8021960258483887","-0.8021960258483887"
"83","-0.34718000888824463","-0.34718000888824463","-0.34718000888824463","-0.05350400134921074","-0.05350400134921074","-0.05350400134921074","-0.43397200107574463","-0.43397200107574463","-0.43397200107574463","0.6198999881744385","0.6198999881744385","0.6198999881744385","-0.8021960258483887","-0.8021960258483887","-0.8021960258483887"
