,episode_reward
0,20.4263001116924
1,7.24700018033036
2,11.621700114104897
3,-0.9995999505044892
4,-0.9995999505044892
5,18.116550614126027
6,13.78184996312484
7,9.537950022873702
8,21.203900311607867
9,21.50309992558323
10,21.39190047432203
11,0.9905499069136569
12,20.9799004283268
13,5.059250094258459
14,21.2239004826406
15,-0.9995999505044892
16,21.369499826570973
17,21.58389974955935
18,21.27790047996677
19,9.610350257717071
20,3.234699751774315
21,7.580999925383367
22,3.2190997525467537
23,21.52789934189059
24,21.34350017190445
25,-0.9995999505044892
26,21.35710047604516
27,11.700900348601865
28,21.248700176598504
29,7.074200188886607
30,17.982550382323097
31,-0.9995999505044892
32,-0.9995999505044892
33,1.0369501430541277
34,20.90589978313073
35,11.55530059422017
36,21.069499841425568
37,19.78630055382382
38,21.232300005387515
39,21.463100298773497
40,-0.9995999505044892
41,16.241600274137454
42,-0.9995999505044892
43,17.370549935789313
44,-0.9995999505044892
45,7.455000170040876
46,-0.9995999505044892
47,7.468599930929486
48,-0.9995999505044892
49,20.848300501238555
50,21.27790047996677
51,21.33030017255805
52,20.95710066787433
53,21.14430065860506
54,21.15030018147081
55,-0.9995999505044892
56,20.956299780635163
57,-0.9995999505044892
58,21.042299709981307
59,17.53375040454557
60,5.363250317634083
61,21.285100241191685
62,-0.9995999505044892
63,21.181500179925933
64,7.114599710039329
65,21.117900183075108
66,11.822100342600606
67,21.263500242261216
68,15.51479959487915
69,16.177600038878154
70,21.215900311013684
71,3.083900236088084
72,21.26269959344063
73,11.39490012533497
74,15.608400782337412
75,21.225100244162604
76,20.544700277852822
77,13.735450203821529
78,13.692649967531906
79,-0.9995999505044892
80,5.384450078156078
81,-0.9995999505044892
82,13.767449963837862
83,1.035350143123651
84,19.31830033857841
85,-0.9995999505044892
86,20.506700107711367
87,20.074700367520563
88,21.353099694591947
89,7.581399925344158
90,21.56309992261231
91,16.24640075073694
92,21.023899843683463
93,11.391300125513226
94,21.403900473727845
95,7.578200402349466
96,-0.9995999505044892
97,21.07310031808447
98,6.881000436871545
99,21.395100169349465
