Wall time,Step,Value
1693123732.760027,2048,-0.9995999932289124
1693123856.972265,4096,-0.9995999932289124
1693123981.11207,6144,-0.7759856581687927
1693124105.3551984,8192,-0.807930588722229
1693124229.4831557,10240,-0.4268592298030853
1693124353.5948794,12288,-0.5309939384460449
1693124477.8611126,14336,-0.5700443983078003
1693124602.2477257,16384,-0.28210484981536865
1693124726.4082355,18432,0.09114667028188705
1693124850.5723255,20480,0.23735788464546204
1693124974.663245,22528,0.16863800585269928
1693125098.742813,24576,0.2007070928812027
1693125222.9682763,26624,0.2007070928812027
1693125346.9804676,28672,0.6562026143074036
1693125471.090309,30720,1.252648949623108
1693125595.24677,32768,1.7130039930343628
1693125719.364363,34816,2.393198251724243
1693125843.4736354,36864,2.8444411754608154
1693125967.6588626,38912,3.396395683288574
1693126091.6945531,40960,3.667083740234375
1693126215.8016846,43008,4.59574031829834
1693126339.9663236,45056,4.915058135986328
1693126464.1038392,47104,5.273635387420654
1693126588.3484726,49152,6.0445780754089355
1693126712.5884008,51200,6.299473285675049
1693126836.797893,53248,6.499290466308594
1693126961.0238807,55296,6.820261478424072
1693127085.1724775,57344,7.125066757202148
1693127209.3787284,59392,7.56660795211792
1693127333.4643214,61440,7.832137584686279
1693127457.808572,63488,8.299899101257324
1693127581.949377,65536,8.72433090209961
1693127706.1857545,67584,9.106528282165527
1693127830.5039902,69632,9.482284545898438
1693127954.7361848,71680,9.820536613464355
1693128078.9258924,73728,10.133008003234863
1693128203.1207108,75776,10.226573944091797
1693128327.3295715,77824,10.525472640991211
1693128451.522681,79872,10.778935432434082
1693128575.697162,81920,11.02790641784668
1693128699.8917973,83968,11.266193389892578
1693128824.1483238,86016,11.474529266357422
1693128948.372288,88064,11.683991432189941
1693129072.504659,90112,11.86487865447998
1693129196.6727724,92160,12.037551879882812
1693129320.754036,94208,12.212063789367676
1693129444.9637432,96256,12.448063850402832
1693129569.114757,98304,12.507438659667969
1693129693.4278195,100352,12.666229248046875
1693129817.686497,102400,12.783040046691895
1693129942.210918,104448,12.907746315002441
1693130066.5163107,106496,13.024603843688965
1693130190.9271848,108544,13.217137336730957
1693130315.3150861,110592,13.315486907958984
1693130439.8927824,112640,13.408669471740723
1693130564.795036,114688,13.499014854431152
1693130688.9458642,116736,13.5888032913208
1693130813.183137,118784,13.674850463867188
1693130937.503275,120832,13.759047508239746
1693131061.855645,122880,14.038688659667969
1693131186.1522565,124928,14.401971817016602
1693131310.4322188,126976,14.939194679260254
1693131435.2570632,129024,15.278777122497559
1693131559.3934097,131072,15.653258323669434
1693131683.591461,133120,16.183700561523438
1693131807.7959595,135168,16.462533950805664
1693131931.9854465,137216,16.9783992767334
1693132056.236033,139264,17.319082260131836
1693132180.3541076,141312,17.426616668701172
1693132304.51755,143360,17.509002685546875
1693132428.753981,145408,17.587865829467773
1693132552.9224367,147456,17.599061965942383
1693132677.1417873,149504,17.643625259399414
1693132801.4721212,151552,17.66786003112793
1693132925.6442857,153600,17.719507217407227
1693133049.915438,155648,17.752168655395508
1693133174.1436062,157696,17.726165771484375
1693133298.2946975,159744,17.71718406677246
1693133422.5323703,161792,17.735143661499023
1693133546.809501,163840,17.6942081451416
1693133670.879236,165888,17.674711227416992
1693133795.1174662,167936,17.680936813354492
1693133919.3864877,169984,17.701435089111328
1693134043.5261214,172032,17.670618057250977
1693134167.8681104,174080,17.67289161682129
1693134292.1453502,176128,17.65070152282715
1693134416.453953,178176,17.64032554626465
1693134540.6522002,180224,17.61795425415039
1693134664.9876957,182272,17.60260581970215
1693134789.166778,184320,17.597440719604492
