Wall time,Step,Value
1694621760.8354685,12288,-0.9995999932289124
1694621885.646833,14336,-0.9347882270812988
1694622385.1937375,22528,-0.9587925672531128
1694622510.1556904,24576,-0.9616069197654724
1694622760.1272073,28672,-0.967194139957428
1694622884.9978733,30720,-0.9689944386482239
1694623009.88905,32768,-0.9713487029075623
1694623259.8188312,36864,-0.9745590686798096
1694623384.102389,38912,-0.9756478071212769
1694623508.306411,40960,-0.9771142601966858
1694623632.6092796,43008,-0.9779960513114929
1694624129.613191,51200,-0.9815376996994019
1694625247.7724955,69632,-0.9721879363059998
1694625372.0012095,71680,-0.9731441736221313
1694625620.5588846,75776,-0.9745978116989136
1694625993.3991385,81920,-0.9763836860656738
1694626117.743672,83968,-0.9768480062484741
1694626366.3670254,88064,-0.9768480062484741
1694626614.9749734,92160,-0.9768480062484741
1694626739.3312743,94208,-0.9768480062484741
1694626987.9398897,98304,-0.9878659844398499
1694627236.5716903,102400,-0.9768319725990295
1694627360.7831454,104448,-0.9768319725990295
1694627733.7955995,110592,-0.9768319725990295
1694627858.0437624,112640,-0.9768319725990295
1694627982.334759,114688,-0.9768319725990295
1694628106.6095848,116736,-0.9768319725990295
1694628230.8351927,118784,-0.9768319725990295
1694628603.6933424,124928,-0.9768319725990295
1694628727.9661977,126976,-0.9768319725990295
1694628977.624062,131072,-0.9768319725990295
1694629226.6490798,135168,-0.9768319725990295
1694629351.1518817,137216,-0.988565981388092
1694629475.4497228,139264,-0.988565981388092
1694629600.0760176,141312,-0.988565981388092
1694629974.4374573,147456,-0.988565981388092
1694630099.2981117,149504,-0.988565981388092
1694630224.1796005,151552,-0.988565981388092
1694630348.8398356,153600,-0.988565981388092
1694630598.4603333,157696,-0.988565981388092
1694630973.406761,163840,-0.9776239991188049
1694631598.5045047,174080,-0.9624300003051758
1694631723.3735433,176128,-0.9624300003051758
1694631848.6365774,178176,-0.9624300003051758
1694631973.6127603,180224,-0.9624300003051758
1694632098.355754,182272,-0.9624300003051758
1694632222.784641,184320,-0.9734640121459961
1694632845.1082876,194560,-0.9627220034599304
1694633843.8700376,210944,-0.9093859791755676
1694634217.8333116,217088,-0.8901960253715515
1694634342.259425,219136,-0.8901960253715515
1694635216.5671394,233472,-0.8337560296058655
1694635590.8822026,239616,-0.8122699856758118
1694635840.5698001,243712,-0.7891820073127747
1694635965.9389422,245760,-0.7700480222702026
1694636090.8529873,247808,-0.7506539821624756
1694636590.5667634,256000,-0.6817659735679626
1694636715.2818675,258048,-0.6817659735679626
1694636840.377695,260096,-0.6191880106925964
1694637215.021942,266240,-0.5798540115356445
1694637339.8651204,268288,-0.5798540115356445
1694637714.0498502,274432,-0.5873219966888428
1694638212.831064,282624,-0.5795900225639343
1694638462.6407907,286720,-0.5543659925460815
1694638711.540295,290816,-0.5261859893798828
1694638835.920553,292864,-0.5261859893798828
1694638960.2178562,294912,-0.49594199657440186
1694639084.5160482,296960,-0.5076599717140198
1694639581.7875435,305152,-0.469184011220932
1694639830.4055617,309248,-0.4822019934654236
1694640203.4600348,315392,-0.4619939923286438
1694640327.7795656,317440,-0.4465560019016266
1694640452.1646512,319488,-0.4549480080604553
1694640700.786509,323584,-0.42191800475120544
1694640825.0488505,325632,-0.424888014793396
1694640949.2848437,327680,-0.432096004486084
