episode,finalReward
02-30-01.yaml,[1.9728]
02-30-02.yaml,[1.9728]
02-30-03.yaml,[1.9728]
03-01-01.yaml,[-0.9999971]
03-01-02.yaml,[-0.9999971]
03-01-03.yaml,[-0.9999971]
03-02-01.yaml,[-0.9999971]
03-02-02.yaml,[-0.9999971]
03-02-03.yaml,[-0.9999971]
03-03-01.yaml,[-0.9999971]
03-03-02.yaml,[-0.9999971]
03-03-03.yaml,[-0.9999971]
03-04-01.yaml,[-0.9999971]
03-04-02.yaml,[-0.9999971]
03-04-03.yaml,[-0.9999971]
03-05-01.yaml,[-0.9999971]
03-05-02.yaml,[-0.9999971]
03-05-03.yaml,[-0.9999971]
03-06-01.yaml,[-0.9999971]
03-06-02.yaml,[-0.9999971]
03-06-03.yaml,[-0.9999971]
03-07-01.yaml,[-0.9999971]
03-07-02.yaml,[-0.9999971]
03-07-03.yaml,[-0.9999971]
03-08-01.yaml,[-0.9999971]
03-08-02.yaml,[-0.9999971]
03-08-03.yaml,[-0.9999971]
03-09-01.yaml,[-0.9999971]
03-09-02.yaml,[-0.9999971]
03-09-03.yaml,[-0.9999971]
03-10-01.yaml,[-0.9999971]
03-10-02.yaml,[-0.9999971]
03-10-03.yaml,[-0.9999971]
03-11-01.yaml,[-0.9999971]
03-11-02.yaml,[-0.9999971]
03-11-03.yaml,[-0.9999971]
03-12-01.yaml,[-0.9999971]
03-12-02.yaml,[-0.9999971]
03-12-03.yaml,[-0.9999971]
03-13-01.yaml,[-0.9999971]
03-13-02.yaml,[-0.9999971]
03-13-03.yaml,[-0.9999971]
03-14-01.yaml,[-0.9999971]
03-14-02.yaml,[-0.9999971]
03-14-03.yaml,[-0.9999971]
03-15-01.yaml,[-0.9999971]
03-15-02.yaml,[-0.9999971]
03-15-03.yaml,[-0.9999971]
03-16-01.yaml,[-0.9999971]
03-16-02.yaml,[-0.9999971]
03-16-03.yaml,[-0.9999971]
03-17-01.yaml,[-0.9999971]
03-17-02.yaml,[-0.9999971]
03-17-03.yaml,[-0.9999971]
03-18-01.yaml,[-1.0000069]
03-18-02.yaml,[-1.0000069]
03-18-03.yaml,[-1.0000069]
03-19-01.yaml,[-1.0000069]
03-19-02.yaml,[-1.0000069]
03-19-03.yaml,[-1.0000069]
