episode,finalReward
02-27-03.yaml,[0.5898007]
02-28-01.yaml,[-1.1634002]
02-28-02.yaml,[-1.1974003]
02-28-03.yaml,[1.327432]
02-29-01.yaml,[0.2523998]
02-29-02.yaml,[0.86300004]
02-29-03.yaml,[-0.99880695]
02-30-01.yaml,[2.2063935]
02-30-02.yaml,[1.5916008]
02-30-03.yaml,[1.7993928]
03-01-01.yaml,[-0.9975971]
03-01-02.yaml,[-0.9975971]
03-01-03.yaml,[-0.9975971]
03-02-01.yaml,[-0.9975971]
03-02-02.yaml,[-0.9975971]
03-02-03.yaml,[-0.9975971]
03-03-01.yaml,[-0.9975971]
03-03-02.yaml,[-0.9975971]
03-03-03.yaml,[-0.9975971]
03-04-01.yaml,[-0.9975971]
03-04-02.yaml,[-0.9975971]
03-04-03.yaml,[-0.9975971]
03-05-01.yaml,[-0.9975971]
03-05-02.yaml,[-0.9975971]
03-05-03.yaml,[-0.9975971]
03-06-01.yaml,[-0.9975971]
03-06-02.yaml,[-0.9975971]
03-06-03.yaml,[-0.9975971]
03-07-01.yaml,[-0.9975971]
03-07-02.yaml,[-0.9975971]
03-07-03.yaml,[-0.9975971]
03-08-01.yaml,[-0.9975971]
03-08-02.yaml,[-0.9975971]
03-08-03.yaml,[-0.9975971]
03-09-01.yaml,[-0.9975971]
03-09-02.yaml,[-0.9975971]
03-09-03.yaml,[-0.9975971]
03-10-01.yaml,[-0.9975971]
03-10-02.yaml,[-0.9975971]
03-10-03.yaml,[-0.9975971]
03-11-01.yaml,[-0.9975971]
03-11-02.yaml,[-0.9975971]
03-11-03.yaml,[-0.9975971]
03-12-01.yaml,[-0.9975971]
03-12-02.yaml,[-0.9975971]
03-12-03.yaml,[-0.9975971]
03-13-01.yaml,[-0.9975971]
03-13-02.yaml,[-0.9975971]
03-13-03.yaml,[-0.9975971]
03-14-01.yaml,[-0.9975971]
03-14-02.yaml,[-0.9975971]
03-14-03.yaml,[-0.9975971]
03-15-01.yaml,[-0.9975971]
03-15-02.yaml,[-0.9975971]
03-15-03.yaml,[-0.9975971]
03-16-01.yaml,[-0.9975971]
03-16-02.yaml,[-0.9975971]
03-16-03.yaml,[-0.9975971]
03-17-01.yaml,[-0.9975971]
03-17-02.yaml,[-0.9975971]
03-17-03.yaml,[-0.9975971]
03-18-01.yaml,[-0.99880695]
03-18-02.yaml,[-0.99880695]
03-18-03.yaml,[-0.99880695]
03-19-01.yaml,[-0.99880695]
03-19-02.yaml,[-0.99880695]
03-19-03.yaml,[-0.99880695]
03-20-01.yaml,[-0.9975971]
03-20-02.yaml,[-0.9975971]
03-20-03.yaml,[-0.9975971]
03-21-01.yaml,[-0.99880695]
03-21-02.yaml,[-0.99880695]
03-21-03.yaml,[-0.99880695]
03-22-01.yaml,[-0.9975971]
03-22-02.yaml,[-0.9975971]
03-22-03.yaml,[-0.9975971]
03-23-01.yaml,[-0.9975971]
03-23-02.yaml,[-0.9975971]
03-23-03.yaml,[-0.9975971]
03-24-01.yaml,[-0.9975971]
03-24-02.yaml,[-0.9975971]
03-24-03.yaml,[-0.9975971]
03-25-01.yaml,[1.2468009]
03-25-02.yaml,[-0.9975971]
03-25-03.yaml,[-0.9975971]
03-26-01.yaml,[-0.9975971]
03-26-02.yaml,[-0.9975971]
03-26-03.yaml,[-0.9975971]
03-27-01.yaml,[-0.99880695]
03-27-02.yaml,[-0.99880695]
03-27-03.yaml,[-0.99880695]
03-28-01.yaml,[-0.9975971]
03-28-02.yaml,[-0.9975971]
03-28-03.yaml,[-0.9975971]
03-29-01.yaml,[-0.9975971]
03-29-02.yaml,[-0.9975971]
03-29-03.yaml,[-0.9975971]
03-30-01.yaml,[-0.9975971]
03-30-02.yaml,[-0.9975971]
03-30-03.yaml,[-0.9975971]
04-01-01.yaml,[-1.0104]
04-01-02.yaml,[-1.044]
04-01-03.yaml,[-1.0264001]
04-02-01.yaml,[-1.6184001]
04-02-02.yaml,[-1.4640008]
04-02-03.yaml,[-1.1704]
04-03-01.yaml,[-1.3704004]
04-03-02.yaml,[-1.3568003]
04-03-03.yaml,[-1.7039994]
04-04-01.yaml,[-1.0047995]
04-04-02.yaml,[-1.0008004]
04-04-03.yaml,[-0.99759936]
04-05-01.yaml,[-0.99839956]
04-05-02.yaml,[-0.99759924]
04-05-03.yaml,[-1.0031999]
04-06-01.yaml,[-0.9984002]
04-06-02.yaml,[-1.0031981]
04-06-03.yaml,[-1.5984002]
04-07-01.yaml,[-0.9975988]
04-07-02.yaml,[-1.0016]
04-07-03.yaml,[-0.9983997]
04-08-01.yaml,[-0.9975971]
04-08-02.yaml,[-0.9975971]
04-08-03.yaml,[-1.004]
04-09-01.yaml,[-1.0039998]
04-09-02.yaml,[-1.0031999]
04-09-03.yaml,[-0.9999998]
04-10-01.yaml,[-0.9975971]
04-10-02.yaml,[-1.7687998]
04-10-03.yaml,[-1.9192002]
04-11-01.yaml,[-0.9983979]
04-11-02.yaml,[-1.0328001]
04-11-03.yaml,[-1.2136]
04-12-01.yaml,[-1.9287977]
04-12-02.yaml,[-1.272]
04-12-03.yaml,[-1.2176]
04-13-01.yaml,[-0.9975971]
04-13-02.yaml,[-0.9975971]
04-13-03.yaml,[-0.9975971]
04-14-01.yaml,[-1.7767988]
04-14-02.yaml,[-0.9975971]
04-14-03.yaml,[-0.9975971]
04-15-01.yaml,[-1.0224]
04-15-02.yaml,[-1.1584]
04-15-03.yaml,[-1.0088]
04-16-01.yaml,[-1.0031995]
04-16-02.yaml,[-1.0047995]
04-16-03.yaml,[-0.9976001]
04-17-01.yaml,[-0.9975971]
04-17-02.yaml,[-0.9975971]
04-17-03.yaml,[-0.9983995]
04-18-01.yaml,[-1.0031995]
04-18-02.yaml,[-0.9975995]
04-18-03.yaml,[0.14460039]
04-19-01.yaml,[-1.3544004]
04-19-02.yaml,[-0.9975971]
04-19-03.yaml,[-1.6583998]
04-20-01.yaml,[-1.0592]
04-20-02.yaml,[-1.3960006]
04-20-03.yaml,[-1.0616]
04-21-01.yaml,[-1.1008]
04-21-02.yaml,[-1.1864]
04-21-03.yaml,[-1.3224002]
04-22-01.yaml,[-0.9975971]
04-22-02.yaml,[-1.8375983]
04-22-03.yaml,[-1.2448]
04-23-01.yaml,[-1.7447991]
04-23-02.yaml,[-1.1664001]
04-23-03.yaml,[-0.9975971]
04-24-01.yaml,[-1.1504]
04-24-02.yaml,[-1.9303976]
04-24-03.yaml,[-1.2048]
04-25-01.yaml,[-0.9975971]
04-25-02.yaml,[-0.9975971]
04-25-03.yaml,[-1.0728]
04-26-01.yaml,[-1.0792]
04-26-02.yaml,[-1.1744001]
04-26-03.yaml,[-1.0552]
04-27-01.yaml,[-1.2728]
04-27-02.yaml,[-0.9975971]
04-27-03.yaml,[-1.0296]
04-28-01.yaml,[-0.9975971]
04-28-02.yaml,[-1.1600001]
04-28-03.yaml,[-0.9975971]
04-29-01.yaml,[-1.076]
04-29-02.yaml,[-1.2044003]
04-29-03.yaml,[-1.1836002]
04-30-01.yaml,[-1.1736]
04-30-02.yaml,[-1.1752]
04-30-03.yaml,[-1.0824001]
05-01-01.yaml,[-0.9975971]
05-01-02.yaml,[-0.9975971]
05-01-03.yaml,[-0.9975971]
05-02-01.yaml,[-0.9975971]
05-02-02.yaml,[-0.9975971]
05-02-03.yaml,[-0.9975971]
05-03-01.yaml,[-0.9975971]
05-03-02.yaml,[-0.9975971]
05-03-03.yaml,[-0.9975971]
05-04-01.yaml,[-0.9975971]
05-04-02.yaml,[-0.9975971]
05-04-03.yaml,[-0.9975971]
05-05-01.yaml,[-0.9975971]
05-05-02.yaml,[-0.9975971]
05-05-03.yaml,[-0.9975971]
05-06-01.yaml,[-0.9975971]
05-06-02.yaml,[-0.9975971]
05-06-03.yaml,[-0.99880695]
05-07-01.yaml,[-0.9975971]
05-07-02.yaml,[-0.9975971]
05-07-03.yaml,[-0.9975971]
05-08-01.yaml,[-0.9975971]
05-08-02.yaml,[-0.9975971]
